Category,Question
General Policy Questions,What is LIC Jeevan Utsav?
General Policy Questions,What kind of plan is LIC Jeevan Umang?
General Policy Questions,How are Jeevan Utsav and Jeevan Umang different?
General Policy Questions,Can I buy LIC Jeevan Utsav online?
Eligibility & Terms,What is the minimum age to buy Jeevan Utsav?
Eligibility & Terms,What are the premium paying terms available for Jeevan Umang?
Eligibility & Terms,What is the maximum age to enter the Jeevan Umang plan?
Eligibility & Terms,What is the maturity age in Jeevan Umang?
Premium & Payments,What is the premium for Jeevan Utsav for a 30-year-old with 10-year PPT?
Premium & Payments,What are the different modes for premium payment?
Premium & Payments,Are there any rebates for online purchase?
Benefits - Death Benefit,What is the death benefit in Jeevan Utsav?
Benefits - Death Benefit,How is the death sum assured calculated?
Benefits - Death Benefit,What happens if death occurs before risk commencement?
Benefits - Survival Benefit,What is the Regular Income Benefit under Jeevan Utsav?
Benefits - Survival Benefit,What is the Flexi Income Benefit and how does it work?
Benefits - Survival Benefit,When do survival benefits start in Jeevan Umang?
Benefits - Maturity / Final Payout,Is there a maturity benefit in Jeevan Utsav?
Benefits - Maturity / Final Payout,What is the maturity benefit in Jeevan Umang?
Bonuses & Additions,What are Guaranteed Additions in Jeevan Utsav?
Bonuses & Additions,Does Jeevan Umang participate in profits?
Bonuses & Additions,What is the Final Additional Bonus?
Policy Features,Can I change the benefit option in Jeevan Utsav after buying?
Policy Features,What are the surrender values in Jeevan Utsav?
Policy Features,Can I revive a lapsed LIC policy?
Riders & Enhancements,What riders are available with Jeevan Utsav?
Riders & Enhancements,What is LIC's Accidental Death and Disability Benefit Rider?
Riders & Enhancements,How does the Premium Waiver Rider work?
Loans & Withdrawals,Can I take a loan on LIC Jeevan Umang?
Loans & Withdrawals,What is the maximum loan I can take under Jeevan Utsav?
Exclusions & Fine Print,What is the suicide exclusion clause in LIC policies?
Exclusions & Fine Print,What happens if incorrect info is given at the time of proposal?
Grievances & Redressal,How do I file a complaint with LIC?
Grievances & Redressal,Who do I contact if my claim is rejected?
